Area_code	Location	Overlay_complex	Timezone
352	Florida	-	E
360	Washington	360/564	P
361	Texas	-	C
364	Kentucky	270/364	E/C
365	Ontario	905/289/365/742	E
367	Quebec	418/581/367	E
368	Alberta	403/587/825/368 & 780/587/825/368	M
380	Ohio	614/380	E
385	Utah	801/385	M
386	Florida	-	E
401	Rhode Island	-	E
402	Nebraska	402/531	C
403	Alberta	403/587/825/368	M
404	Georgia	404/678/470/943	E
405	Oklahoma	405/572	C
406	Montana	-	M
407	Florida	407/321/689	E
408	California	408/669	P
409	Texas	-	C
410	Maryland	410/443/667	E
412	Pennsylvania	412/878	E
413	Massachusetts	-	E
414	Wisconsin	-	C
415	California	415/628	P
416	Ontario	416/647/437	E
417	Missouri	-	C
418	Quebec	418/581/367	E
419	Ohio	419/567	E
423	Tennessee	-	E/C
424	California	310/424	P
425	Washington	-	P
428	New Brunswick	506/428	A
430	Texas	903/430	C
431	Manitoba	204/431	C
432	Texas	-	C
434	Virginia	-	E
435	Utah	-	M
437	Ontario	416/647/437	E
438	Quebec	514/438	E
440	Ohio	-	E
441	Bermuda	-	A
442	California	760/442	P
443	Maryland	410/443/667	E
445	Pennsylvania	215/267/445	E
447	Illinois	217/447	C
448	Florida	850/448	E/C
450	Quebec	450/579	E
456	Carrier Services	-	-
458	Oregon	541/458	M/P
463	Indiana	317/463	E
464	Illinois	708/464	C
469	Texas	214/972/469/945	C
470	Georgia	404/678/470/943 & 770/678/470/943	E
473	Grenada	-	AST
474	Saskatchewan	306/639/474	CST
475	Connecticut	203/475	E
478	Georgia	-	E
479	Arkansas	-	C
480	Arizona	-	MST
484	Pennsylvania	610/484	E
500	Personal Communications Services	-	-
501	Arkansas	-	C
502	Kentucky	-	E
503	Oregon	503/971	P
504	Louisiana	-	C
505	New Mexico	-	M
506	New Brunswick	506/428	A
507	Minnesota	-	C
508	Massachusetts	508/774	E
509	Washington	-	P
